"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:1580","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-09,"2008","10","09","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","72","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:1851","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-10-10,"2009","10","10","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","42","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2013","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2011-04-23,"2011","04","23","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2062","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2011-11-25,"2011","11","25","HumanObservation","Baines Point","","Galiano Island","British Columbia","Canada","CA","49.007465","-123.587784","100","","","","","","73","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2196","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2015-01-01,"2015","01","01","HumanObservation","Virago Point","","Galiano Island","British Columbia","Canada","CA","49.00942","-123.58796","100","","","","","","56","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2253","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-03-27,"2016","03","27","HumanObservation","Virago Point","","Galiano Island","British Columbia","Canada","CA","49.00942","-123.58796","100","","","","","","72","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2280","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-07-31,"2016","07","31","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","65","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2302","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-08-23,"2016","08","23","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","31","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2332","Pacific Marine Life Survey Dive Records","","Stefania Gorgopa","","",2019-05-04,"2019","05","04","HumanObservation","Retreat Cove","","Galiano Island","British Columbia","Canada","CA","48.939813","-123.501514","100","","","","","","47","","present","","","","","","unlisted","unlisted","","","","","",""
"Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam",339015,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Rhodomelaceae","Osmundea","","spectabilis","","species","PMLS","","PMLS2021:2334","Pacific Marine Life Survey Dive Records","","Stefania Gorgopa","","",2019-05-04,"2019","05","04","HumanObservation","Walker Rock","","Galiano Island","British Columbia","Canada","CA","48.92833","-123.50483","100","","","","","","48","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1127","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2005-12-10,"2005","12","10","HumanObservation","Virago Point","","Galiano Island","British Columbia","Canada","CA","49.00942","-123.58796","100","","","","","","80","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1134","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-03-05,"2006","03","05","HumanObservation","False Reef","","Galiano Island","British Columbia","Canada","CA","48.93447","-123.51599","100","","","","","","65","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1138","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-06-23,"2006","06","23","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","91","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1145","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-06-30,"2006","06","30","HumanObservation","Lighthouse Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.58333","100","","","","","","56","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1154","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-28,"2006","09","28","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1186","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-29,"2006","09","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1209","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-11,"2006","11","11","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","78","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1219","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-11,"2006","11","11","HumanObservation","Spanish Hills wall","","Galiano Island","British Columbia","Canada","CA","48.995018","-123.584696","100","","","","","","80","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1235","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-18,"2006","11","18","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","89","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1250","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-18,"2006","11","18","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","66","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1273","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-08-20,"2007","08","20","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","67","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1284","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-09-29,"2007","09","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","69","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1332","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-10-21,"2007","10","21","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","75","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1402","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-01,"2008","03","01","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","96","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1431","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-07,"2008","03","07","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","71","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1462","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-22,"2008","03","22","HumanObservation","Romulus Reef","","Galiano Island","British Columbia","Canada","CA","49.00667","-123.59167","100","","","","","","64","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1569","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-07,"2008","10","07","HumanObservation","Dionisio Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.575","100","","","","","","88","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1750","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-20,"2009","03","20","HumanObservation","Dionisio Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.575","100","","","","","","56","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1782","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-04-11,"2009","04","11","HumanObservation","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","60","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1878","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-11-14,"2009","11","14","HumanObservation","Outer Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.01667","-123.57167","100","","","","","","81","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:1963","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2010-11-11,"2010","11","11","HumanObservation","Alcala Point Reefs","","Galiano Island","British Columbia","Canada","CA","49.005","-123.59","100","","","","","","73","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2060","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2011-11-25,"2011","11","25","HumanObservation","Baines Point","","Galiano Island","British Columbia","Canada","CA","49.007465","-123.587784","100","","","","","","73","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2149","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2013-10-10,"2013","10","10","HumanObservation","Spanish Hills wall","","Galiano Island","British Columbia","Canada","CA","48.995018","-123.584696","100","","","","","","76","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2171","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2013-10-20,"2013","10","20","HumanObservation","Galiano Conservancy shore","","Galiano Island","British Columbia","Canada","CA","48.95115","-123.53298","100","","","","","","76","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2186","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2013-10-23,"2013","10","23","HumanObservation","Galiano Conservancy Mound","","Galiano Island","British Columbia","Canada","CA","48.924841","-123.4678","100","","","","","","54","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2190","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2014-01-03,"2014","01","03","HumanObservation","Baines Point","","Galiano Island","British Columbia","Canada","CA","49.007465","-123.587784","100","","","","","","65","","present","","","","","","unlisted","unlisted","","","","","",""
"Palmaria callophylloides","M.W.Hawkes & Scagel",341794,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Palmariales","","","","Palmariaceae","Palmaria","","callophylloides","","species","PMLS","","PMLS2021:2286","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-07-31,"2016","07","31","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","65","","present","","","","","","unlisted","unlisted","","","","","",""
"Paralia sulcata","(Ehrenberg) Cleve",203738,"Chromista","Ochrophyta","","Bacillariophyceae","Paraliales","","","","Paraliaceae","Paralia","","sulcata","","species","iNaturalist","","4873115","","","Mark Webber","","",2006-01-15,"2006","01","15","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.99472","-123.586063","174","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Parlibellus delognei f. ellipticus","E.J.Cox",1465270,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Neidiineae","","","Berkeleyaceae","Parlibellus","","delognei","","species","","","WEBBERETAL2022:618","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Parlibellus delognei f. ellipticus","E.J.Cox",1465270,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Neidiineae","","","Berkeleyaceae","Parlibellus","","delognei","","species","","","WEBBERETAL2022:619","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Parlibellus protracta","(Grunow) Witkowski, Lange-Bertalot & Metzeltin",1465271,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Neidiineae","","","Berkeleyaceae","Parlibellus","","protracta","","species","","","WEBBERETAL2022:620","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Parlibellus protracta","(Grunow) Witkowski, Lange-Bertalot & Metzeltin",1465271,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Neidiineae","","","Berkeleyaceae","Parlibellus","","protracta","","species","","","WEBBERETAL2022:621","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Pauliella taeniata","(Grunow) Round & Basson ",1005053,"Chromista","Ochrophyta","","Bacillariophyceae","Cymbellales","","","","Anomoeoneidaceae","Pauliella","","taeniata","","species","","","WEBBERETAL2022:700","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Petalonia fascia","(O.F.Müller) Kuntze",117816,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Petalonia","","fascia","","species","iNaturalist","","25861435","","","Bridgette Clarkston","","",2019-05-05,"2019","05","05","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8999670442","-123.3418235416","","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Phaeodactylum sp.","",485226,"Chromista","Bacillariophyta","","incertae sedis","incertae sedis","","","","Phaeodactylaceae","Phaeodactylum","","","","genus","","","WEBBERETAL2022:622","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Phaeodactylum sp.","",485226,"Chromista","Bacillariophyta","","incertae sedis","incertae sedis","","","","Phaeodactylaceae","Phaeodactylum","","","","genus","","","WEBBERETAL2022:623","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Phycodrys isabellae","R.E.Norris & M.J.Wynne",1292329,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Delesseriaceae","Phycodrys","","isabellae","","species","","","GWS027395","BOLD","KM254391","G.W. Saunders & K. Hind","","",2011-05-03,"2011","05","03","PreservedSpecimen","Canada:British Columbia, Panther Pt., Wallace I.","","Galiano Island","British Columbia","Canada","CA","48.93","-123.53","","","","","","","","","present","","","","","","unlisted","unlisted","Gary Saunders","","","","",""
"Pinnularia sp.","",244797,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Sellaphorineae","","","Pinnulariaceae","Pinnularia","","","","genus","","","WEBBERETAL2022:624","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Plagiogramma sp.","",251136,"Chromista","Ochrophyta","","Bacillariophyceae","Plagiogrammales","","","","Plagiogrammaceae","Plagiogramma","","","","genus","","","WEBBERETAL2022:701","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Plagiotropis lepidoptera","(W.Gregory) Kuntze",485228,"Chromista","Ochrophyta","","Bacillariophyceae","Naviculales","Naviculineae","","","Plagiotropidaceae","Plagiotropis","","lepidoptera","","species","iNaturalist","","50272686","","","Mark Webber","","",2008-11-19,"2008","11","19","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9944716028","-123.585125552","61","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Planktoniella sol","(G.C. Wallich) Schütt",521675,"Chromista","Ochrophyta","","Bacillariophyceae","Thalassiosirales","","","","Thalassiosiraceae","Planktoniella","","sol","","species","iNaturalist","","4873113","","","Mark Webber","","",2006-07-21,"2006","07","21","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.99472","-123.586063","174","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Planothidium lanceolatum","(Brébisson ex Kützing) Lange-Bertalot",345151,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Planothidium","","lanceolatum","","species","","","WEBBERETAL2022:704","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Planothidium lanceolatum","(Brébisson ex Kützing) Lange-Bertalot",345151,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Planothidium","","lanceolatum","","species","","","WEBBERETAL2022:705","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Planothidium lanceolatum","(Brébisson ex Kützing) Lange-Bertalot",345151,"Chromista","Ochrophyta","","Bacillariophyceae","Achnanthales","","","","Achnanthidiaceae","Planothidium","","lanceolatum","","species","","","WEBBERETAL2022:706","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
